ph,abs
4.00913242,1.000649351
4.200913242,1.000649351
4.383561644,0.998701299
4.584474886,0.998701299
4.840182648,0.996753247
5.105022831,0.992857143
5.342465753,0.987012987
5.589041096,0.977272727
5.826484018,0.963636364
6.02739726,0.942207792
6.264840183,0.905194805
6.374429224,0.881818182
6.511415525,0.846753247
6.611872146,0.811688312
6.703196347,0.776623377
6.785388128,0.743506494
6.858447489,0.71038961
6.931506849,0.677272727
7.02283105,0.624675325
7.114155251,0.577922078
7.205479452,0.527272727
7.296803653,0.476623377
7.388127854,0.425974026
7.461187215,0.383116883
7.543378995,0.34025974
7.689497717,0.272077922
7.789954338,0.225324675
7.881278539,0.184415584
7.9543379,0.161038961
8.02739726,0.13961039
8.118721461,0.116233766
8.210045662,0.094805195
8.292237443,0.079220779
8.383561644,0.065584416
8.465753425,0.055844156
8.575342466,0.042207792
8.703196347,0.030519481
8.849315068,0.020779221
8.97716895,0.014935065
9.095890411,0.011038961
9.315068493,0.007142857
9.534246575,0.003246753
9.716894977,-0.000649351
9.936073059,-0.000649351
10.20091324,-0.002597403
10.49315068,-0.002597403
10.87671233,-0.002597403
11.24200913,-0.002597403
11.49771689,-0.002597403
11.76255708,-0.002597403
11.94520548,-0.002597403
12.00913242,-0.002597403
